4;1;http://www.southpark.de/alle-episoden/s04e01-die-lustige-geschichte-uber-ein-verbrechen-aus-hass;Die lustige Geschichte über ein Verbrechen aus Hass
4;2;http://www.southpark.de/alle-episoden/s04e02-zahnfee-mafia-co;Zahnfee-Mafia & Co
4;3;http://www.southpark.de/alle-episoden/s04e03-opa-macht-die-oma-tot;Opa macht die Oma tot
4;4;http://www.southpark.de/alle-episoden/s04e04-alle-macht-den-drogen;Alle macht den Drogen
4;5;http://www.southpark.de/alle-episoden/s04e05-grobe-erwartungen;Große Erwartungen
4;6;http://www.southpark.de/alle-episoden/s04e06-kennys-karma-52;Kennys Karma 52
4;7;http://www.southpark.de/alle-episoden/s04e07-nicht-ohne-meine-niere;Nicht ohne meine Niere
4;8;http://www.southpark.de/alle-episoden/s04e08-flaggenkrieg;Flaggenkrieg
4;9;http://www.southpark.de/alle-episoden/s04e09-flutschfinger-on-tour;Flutschfinger on Tour
4;10;http://www.southpark.de/alle-episoden/s04e10-ist-die-holle-behindertengerecht;Ist die Hölle behindertengerecht?
4;11;http://www.southpark.de/alle-episoden/s04e11-wird-wohl;Wird wohl...
4;12;http://www.southpark.de/alle-episoden/s04e12-4-klasse;4. Klasse!
4;13;http://www.southpark.de/alle-episoden/s04e13-widerstand-ist-zwecklos;Widerstand ist zwecklos
4;14;http://www.southpark.de/alle-episoden/s04e14-helen-keller-das-musical;Helen Keller: das Musical
4;15;http://www.southpark.de/alle-episoden/s04e15-die-krazy-kenny-show;Die Krazy Kenny Show
4;16;http://www.southpark.de/alle-episoden/s04e16-abenteuer-missbrauch;Abenteuer Missbrauch
4;17;http://www.southpark.de/alle-episoden/s04e17-und-keiner-lacht-zur-weihnachtsnacht;...und keiner lacht zur Weihnachtsnacht!
5;1;http://www.southpark.de/alle-episoden/s05e01-scott-tenorman-muss-sterben;Scott Tenorman muss sterben!
5;2;http://www.southpark.de/alle-episoden/s05e02-verfluchtes-fluchwort;Verfluchtes Fluchwort
5;3;http://www.southpark.de/alle-episoden/s05e03-kruppel-keile;Krüppel Keile!
5;4;http://www.southpark.de/alle-episoden/s05e04-die-liga-der-super-besten-freunde;Die Liga der Super Besten Freunde
5;5;http://www.southpark.de/alle-episoden/s05e05-hinter-dem-furz;Hinter dem Furz
5;6;http://www.southpark.de/alle-episoden/s05e06-cartmanland;Cartmanland
5;7;http://www.southpark.de/alle-episoden/s05e07-hundemelken;Hundemelken
5;8;http://www.southpark.de/alle-episoden/s05e08-ein-bisschen-kiffen;Ein bisschen kiffen?
5;9;http://www.southpark.de/alle-episoden/s05e09-osama-hat-nix-in-der-hose;Osama hat nix in der Hose
5;10;http://www.southpark.de/alle-episoden/s05e10-arschgesichter;Arschgesichter
5;11;http://www.southpark.de/alle-episoden/s05e11-was-ist-es-wann-kann-ich-es-kaufen;Was ist es? Wann kann ich es kaufen?
5;12;http://www.southpark.de/alle-episoden/s05e12-will-smith-bringt-reiches-pack-nach-south-park;Will Smith bringt reiches Pack nach South Park
5;13;http://www.southpark.de/alle-episoden/s05e13-kennys-tod;Kennys Tod
5;14;http://www.southpark.de/alle-episoden/s05e14-butters-das-bin-ich;Butters: Das bin ich!
6;1;http://www.southpark.de/alle-episoden/s06e01-freakshow;Freakshow
6;2;http://www.southpark.de/alle-episoden/s06e02-jared-hat-aides;Jared hat Aides
6;3;http://www.southpark.de/alle-episoden/s06e03-skifahren-ist-furn-arsch;Skifahren ist für'n Arsch
6;4;http://www.southpark.de/alle-episoden/s06e04-die-russel-crowe-show-mit-prugel-um-die-welt;Die Russel Crowe Show: Mit Prügel um die Welt
6;5;http://www.southpark.de/alle-episoden/s06e05-vaginitis-ohne-kalbfleisch;Vaginitis ohne Kalbfleisch
6;6;http://www.southpark.de/alle-episoden/s06e06-professor-chaos;Professor Chaos
6;7;http://www.southpark.de/alle-episoden/s06e07-das-gabs-doch-schon-bei-den-simpsons;Das gab's doch schon bei den Simpsons!
6;8;http://www.southpark.de/alle-episoden/s06e08-nur-korperliche-liebe-im-vatikan;Nur körperliche Liebe im Vatikan?
6;9;http://www.southpark.de/alle-episoden/s06e09-grober-digitaler-und-umgeschnitten;Größer, digitaler und umgeschnitten!
6;10;http://www.southpark.de/alle-episoden/s06e10-bebes-bruste-bringen-krieg;Bebes Brüste bringen Krieg
6;11;http://www.southpark.de/alle-episoden/s06e11-mongolen-vor-south-park;Mongolen vor South Park
6;12;http://www.southpark.de/alle-episoden/s06e12-eine-leiter-zum-himmel;Eine Leiter zum Himmel
6;13;http://www.southpark.de/alle-episoden/s06e13-die-ruckkehr-der-gefahrten-des-rings-zu-den-zwei-turmen;Die Rückkehr der Gefährten des Rings zu den zwei Türmen
6;14;http://www.southpark.de/alle-episoden/s06e14-todescamp-der-toleranz;Todescamp der Toleranz
6;15;http://www.southpark.de/alle-episoden/s06e15-kenny-ist-in-cartman-drin;Kenny ist in Cartman drin!
6;16;http://www.southpark.de/alle-episoden/s06e16-mein-zukunfts-ich-und-ich;Mein Zukunfts-Ich und Ich
6;17;http://www.southpark.de/alle-episoden/s06e17-weihnachten-im-irak-blut-wunder;Weihnachten im Irak: Blut & Wunder
7;1;http://www.southpark.de/alle-episoden/s07e01-fehlgeburt-einer-nation;Fehlgeburt einer Nation
7;2;http://www.southpark.de/alle-episoden/s07e02-guter-kruppel-schlechter-kruppel;Guter Krüppel, schlechter Krüppel
7;3;http://www.southpark.de/alle-episoden/s07e03-das-schweigen-des-klopapiers;Das Schweigen des Klopapiers
7;4;http://www.southpark.de/alle-episoden/s07e04-wird-die-erde-eingestellt;Wird die Erde eingestellt?
7;5;http://www.southpark.de/alle-episoden/s07e05-j-lo-das-doppelte-flittchen;J-Lo: Das doppelte Flittchen
7;6;http://www.southpark.de/alle-episoden/s07e06-kleine-kriminale;Kleine Kriminale
7;7;http://www.southpark.de/alle-episoden/s07e07-unglaublich-geldgeile-ureinwohner;Unglaublich geldgeile Ureinwohner
7;8;http://www.southpark.de/alle-episoden/s07e08-schwule-verschworung;Schwule Verschwörung
7;9;http://www.southpark.de/alle-episoden/s07e09-christen-rocken-fett;Christen rocken fett!
7;10;http://www.southpark.de/alle-episoden/s07e10-revolution-der-alten-sacke;Revolution der alten Säcke
7;11;http://www.southpark.de/alle-episoden/s07e11-casa-bonita;Casa Bonita
7;12;http://www.southpark.de/alle-episoden/s07e12-mormonen-machen-sich-was-vor;Mormonen machen sich was vor
7;13;http://www.southpark.de/alle-episoden/s07e13-kippe-weg;Kippe weg!
7;14;http://www.southpark.de/alle-episoden/s07e14-wir-sind-grufties;Wir sind Grufties
7;15;http://www.southpark.de/alle-episoden/s07e15-bloder-die-kanadier-nie-klingen;Blöder die Kanadier nie klingen
8;1;http://www.southpark.de/alle-episoden/s08e01-spiel-und-spab-mit-waffen;Spiel und Spaß mit Waffen
8;2;http://www.southpark.de/alle-episoden/s08e02-geilomat;G.E.I.L.O.M.A.T.
8;3;http://www.southpark.de/alle-episoden/s08e03-mit-der-spritze-an-die-spitze;Mit der Spritze an die Spitze
8;4;http://www.southpark.de/alle-episoden/s08e04-die-passion-des-juden;Die Passion des Juden
8;5;http://www.southpark.de/alle-episoden/s08e05-voll-in-den-ar-gefickt;Voll in den Ar*** gefickt
8;6;http://www.southpark.de/alle-episoden/s08e06-immigranten-aus-der-zukunft;Immigranten aus der Zukunft
8;7;http://www.southpark.de/alle-episoden/s08e07-die-jeffersons;Die Jeffersons
8;8;http://www.southpark.de/alle-episoden/s08e08-wahl-oder-stirb;Wähl oder stirb
8;9;http://www.southpark.de/alle-episoden/s08e09-das-bose-kommt-auf-wall-marts-sohlen;Das Böse kommt auf Wall-Marts Sohlen
8;10;http://www.southpark.de/alle-episoden/s08e10-vorschule;Vorschule
8;11;http://www.southpark.de/alle-episoden/s08e11-kampf-um-quoten;Kampf um Quoten
8;12;http://www.southpark.de/alle-episoden/s08e12-lasst-uns-schlampen-spielen;Lasst uns Schlampen spielen
8;13;http://www.southpark.de/alle-episoden/s08e13-cartmans-unglaubliche-gabe;Cartmans unglaubliche Gabe
8;14;http://www.southpark.de/alle-episoden/s08e14-weihnacht-im-walde;Weihnacht im Walde
9;1;http://www.southpark.de/alle-episoden/s09e01-mr-garrisons-schicke-neue-vagina;Mr. Garrisons schicke neue Vagina
9;2;http://www.southpark.de/alle-episoden/s09e02-stirb-hippie-stirb;Stirb Hippie, stirb!
9;3;http://www.southpark.de/alle-episoden/s09e03-die-supergeile-talentagentur;Die supergeile Talentagentur
9;4;http://www.southpark.de/alle-episoden/s09e04-abfs-allerbeste-freunde;ABF's - Allerbeste Freunde
9;5;http://www.southpark.de/alle-episoden/s09e05-siegertypen;Siegertypen
9;6;http://www.southpark.de/alle-episoden/s09e06-der-tod-von-eric-cartman;Der Tod von Eric Cartman
9;7;http://www.southpark.de/alle-episoden/s09e07-lattenfieber;Lattenfieber
9;8;http://www.southpark.de/alle-episoden/s09e08-der-treibhauseffekt;Der Treibhauseffekt
9;9;http://www.southpark.de/alle-episoden/s09e09-das-weissagungsgerat;Das Weissagungsgerät
9;10;http://www.southpark.de/alle-episoden/s09e10-ei-fersucht;Ei-fersucht
9;11;http://www.southpark.de/alle-episoden/s09e11-im-korper-des-feindes;Im Körper des Feindes
9;12;http://www.southpark.de/alle-episoden/s09e12-schrankgefluster;Schrankgeflüster
9;13;http://www.southpark.de/alle-episoden/s09e13-free-willzyx;Free Willzyx
9;14;http://www.southpark.de/alle-episoden/s09e14-bloody-mary;Bloody Mary
10;1;http://www.southpark.de/alle-episoden/s10e01-the-return-of-chefkoch;The Return of Chefkoch
10;2;http://www.southpark.de/alle-episoden/s10e02-snobwarnung;Snobwarnung
10;3;http://www.southpark.de/alle-episoden/s10e03-cartoon-krieg-teil-1;Cartoon Krieg (Teil 1)
10;4;http://www.southpark.de/alle-episoden/s10e04-cartoon-krieg-teil-2;Cartoon Krieg (Teil 2)
10;5;http://www.southpark.de/alle-episoden/s10e05-viel-frottee-um-nichts;Viel Frottee um nichts
10;6;http://www.southpark.de/alle-episoden/s10e06-mannbarschwein;Mannbärschwein
10;7;http://www.southpark.de/alle-episoden/s10e07-tsst;Tsst!
10;8;http://www.southpark.de/alle-episoden/s10e08-make-love-not-warcraft;Make Love, Not Warcraft
10;9;http://www.southpark.de/alle-episoden/s10e09-scheib-paranoia;Scheiß Paranoia
10;10;http://www.southpark.de/alle-episoden/s10e10-schuljungen-report;Schuljungen - Report
10;11;http://www.southpark.de/alle-episoden/s10e11-die-holle-auf-erden;Die Hölle auf Erden
10;12;http://www.southpark.de/alle-episoden/s10e12-gott-ist-tot;Gott ist tot
10;13;http://www.southpark.de/alle-episoden/s10e13-gott-ist-tot-ii;Gott ist tot II
10;14;http://www.southpark.de/alle-episoden/s10e14-stanleys-cup;Stanley's Cup
11;1;http://www.southpark.de/alle-episoden/s11e01-bitte-ein-n;Bitte ein "N"
11;2;http://www.southpark.de/alle-episoden/s11e02-cartman-sucks;Cartman Sucks
11;3;http://www.southpark.de/alle-episoden/s11e03-laustrophobie;Laustrophobie
11;4;http://www.southpark.de/alle-episoden/s11e04-hillary-24;Hillary 2.4
11;5;http://www.southpark.de/alle-episoden/s11e05-der-osterhasen-code;Der Osterhasen-Code
11;6;http://www.southpark.de/alle-episoden/s11e06-lesbos;LesBos
